year,month,day,hour,minute,second,max_vert_acc,rms_vert_acc,vert_acc_p95,source_file,bottom_rms
2024.0,12.0,2.0,13.0,7.0,24.0,0.10000000000000009,0.03830769733091184,0.07000000000000006,/Users/rasmus/Desktop/Fysik/AppliedML2026/Final_project_data/data/ML_data/NBI/FDM data/Arrivals/Nuuk Arrival_ 207897_OY-GRM_02_12_24_09_13.csv,0.04766783215358368
2024.0,12.0,2.0,13.0,42.0,19.0,0.1399999999999999,0.032728751445345,0.06500000000000006,/Users/rasmus/Desktop/Fysik/AppliedML2026/Final_project_data/data/ML_data/NBI/FDM data/Arrivals/Nuuk Arrival_ 207898_OY-GRK_02_12_24_44_13.csv,0.06181770435262517
2024.0,12.0,2.0,13.0,3.0,50.0,0.17000000000000004,0.06045940626424679,0.1299999999999999,/Users/rasmus/Desktop/Fysik/AppliedML2026/Final_project_data/data/ML_data/NBI/FDM data/Arrivals/Nuuk Arrival_ 207899_OY-GRH_02_12_24_04_13.csv,0.07038356451506386
2024.0,12.0,2.0,19.0,3.0,0.0,0.15999999999999992,0.03958879547640631,0.08000000000000002,/Users/rasmus/Desktop/Fysik/AppliedML2026/Final_project_data/data/ML_data/NBI/FDM data/Arrivals/Nuuk Arrival_ 207924_OY-GRK_02_12_24_04_19.csv,0.06201736729460424
2024.0,12.0,2.0,21.0,3.0,45.0,0.1299999999999999,0.033547557235829105,0.06000000000000005,/Users/rasmus/Desktop/Fysik/AppliedML2026/Final_project_data/data/ML_data/NBI/FDM data/Arrivals/Nuuk Arrival_ 207939_OY-GRG_02_12_24_05_21.csv,0.04649234841926642
2024.0,12.0,2.0,17.0,1.0,41.0,0.18999999999999995,0.08240473615357642,0.1399999999999999,/Users/rasmus/Desktop/Fysik/AppliedML2026/Final_project_data/data/ML_data/NBI/FDM data/Arrivals/Nuuk Arrival_ 207940_OY-GRO_02_12_24_03_17.csv,0.09180017825294634
2024.0,12.0,3.0,0.0,35.0,7.0,0.19999999999999996,0.07907309747648407,0.1399999999999999,/Users/rasmus/Desktop/Fysik/AppliedML2026/Final_project_data/data/ML_data/NBI/FDM data/Arrivals/Nuuk Arrival_ 207945_OY-GRO_03_12_24_37_00.csv,0.10660340385881548
2024.0,12.0,3.0,11.0,46.0,47.0,0.24,0.06448698650558447,0.10049999999999992,/Users/rasmus/Desktop/Fysik/AppliedML2026/Final_project_data/data/ML_data/NBI/FDM data/Arrivals/Nuuk Arrival_ 207948_OY-GRO_03_12_24_48_11.csv,0.1037479463104517
2024.0,12.0,3.0,15.0,0.0,34.0,0.10000000000000009,0.032211905215414366,0.06999999999999998,/Users/rasmus/Desktop/Fysik/AppliedML2026/Final_project_data/data/ML_data/NBI/FDM data/Arrivals/Nuuk Arrival_ 207954_OY-GRG_03_12_24_02_15.csv,0.048770600043175946
2024.0,12.0,3.0,15.0,10.0,6.0,0.14,0.05126822966076577,0.10949999999999999,/Users/rasmus/Desktop/Fysik/AppliedML2026/Final_project_data/data/ML_data/NBI/FDM data/Arrivals/Nuuk Arrival_ 207955_OY-GRH_03_12_24_11_15.csv,0.06660603303277893
2024.0,12.0,3.0,15.0,12.0,5.0,0.16999999999999993,0.08903303724140893,0.1499999999999999,/Users/rasmus/Desktop/Fysik/AppliedML2026/Final_project_data/data/ML_data/NBI/FDM data/Arrivals/Nuuk Arrival_ 207956_OY-GRO_03_12_24_13_15.csv,0.09018499505645791
2024.0,12.0,3.0,15.0,21.0,23.0,0.1100000000000001,0.03734555215131687,0.06000000000000005,/Users/rasmus/Desktop/Fysik/AppliedML2026/Final_project_data/data/ML_data/NBI/FDM data/Arrivals/Nuuk Arrival_ 207957_OY-GRM_03_12_24_23_15.csv,0.0526234811584218
2024.0,12.0,3.0,20.0,2.0,26.0,0.27,0.0593717104351896,0.12050000000000007,/Users/rasmus/Desktop/Fysik/AppliedML2026/Final_project_data/data/ML_data/NBI/FDM data/Arrivals/Nuuk Arrival_ 208004_OY-GRH_03_12_24_04_20.csv,0.06678323142825603
2024.0,12.0,3.0,20.0,14.0,59.0,0.1299999999999999,0.04547640540187697,0.09000000000000008,/Users/rasmus/Desktop/Fysik/AppliedML2026/Final_project_data/data/ML_data/NBI/FDM data/Arrivals/Nuuk Arrival_ 208006_OY-GRK_03_12_24_15_20.csv,0.07577378614446206
2024.0,12.0,3.0,23.0,35.0,57.0,0.18999999999999995,0.055927353347525924,0.1100000000000001,/Users/rasmus/Desktop/Fysik/AppliedML2026/Final_project_data/data/ML_data/NBI/FDM data/Arrivals/Nuuk Arrival_ 208009_OY-GRH_03_12_24_36_23.csv,0.06077280093375111
2024.0,12.0,4.0,13.0,40.0,21.0,0.19999999999999996,0.0400826959741519,0.08000000000000007,/Users/rasmus/Desktop/Fysik/AppliedML2026/Final_project_data/data/ML_data/NBI/FDM data/Arrivals/Nuuk Arrival_ 208011_OY-GRH_04_12_24_42_13.csv,0.07560284038106119
2024.0,12.0,4.0,12.0,49.0,57.0,0.1299999999999999,0.03626474291853412,0.06000000000000005,/Users/rasmus/Desktop/Fysik/AppliedML2026/Final_project_data/data/ML_data/NBI/FDM data/Arrivals/Nuuk Arrival_ 208014_OY-GRM_04_12_24_51_12.csv,0.04760952285695238
2024.0,12.0,4.0,16.0,20.0,56.0,0.1399999999999999,0.041061855162268186,0.08150000000000011,/Users/rasmus/Desktop/Fysik/AppliedML2026/Final_project_data/data/ML_data/NBI/FDM data/Arrivals/Nuuk Arrival_ 208022_OY-GRH_04_12_24_22_16.csv,0.05291502622129186
2024.0,12.0,4.0,21.0,4.0,22.0,0.30000000000000004,0.06156616776363817,0.12599999999999992,/Users/rasmus/Desktop/Fysik/AppliedML2026/Final_project_data/data/ML_data/NBI/FDM data/Arrivals/Nuuk Arrival_ 208038_OY-GRM_04_12_24_08_21.csv,0.07690903718029503
2024.0,12.0,4.0,21.0,13.0,20.0,0.16999999999999993,0.04494810285437496,0.09000000000000008,/Users/rasmus/Desktop/Fysik/AppliedML2026/Final_project_data/data/ML_data/NBI/FDM data/Arrivals/Nuuk Arrival_ 208039_OY-GRP_04_12_24_17_21.csv,0.054445254286170044
2024.0,12.0,4.0,21.0,22.0,55.0,0.27,0.058887536333963535,0.1100000000000001,/Users/rasmus/Desktop/Fysik/AppliedML2026/Final_project_data/data/ML_data/NBI/FDM data/Arrivals/Nuuk Arrival_ 208040_OY-GRH_04_12_24_26_21.csv,0.09048020041239228
2024.0,12.0,4.0,22.0,35.0,29.0,0.24,0.07628528327563874,0.1299999999999999,/Users/rasmus/Desktop/Fysik/AppliedML2026/Final_project_data/data/ML_data/NBI/FDM data/Arrivals/Nuuk Arrival_ 208042_OY-GRO_04_12_24_37_22.csv,0.1168496733151024
2024.0,12.0,5.0,11.0,3.0,14.0,0.1499999999999999,0.06371930928643102,0.10400000000000001,/Users/rasmus/Desktop/Fysik/AppliedML2026/Final_project_data/data/ML_data/NBI/FDM data/Arrivals/Nuuk Arrival_ 208045_OY-GRO_05_12_24_05_11.csv,0.08596787882968963
2024.0,12.0,5.0,11.0,34.0,29.0,0.1100000000000001,0.033761478024132555,0.07000000000000006,/Users/rasmus/Desktop/Fysik/AppliedML2026/Final_project_data/data/ML_data/NBI/FDM data/Arrivals/Nuuk Arrival_ 208048_OY-GRP_05_12_24_36_11.csv,0.05304984179322045
2024.0,12.0,5.0,12.0,20.0,26.0,0.15999999999999992,0.04024922359499625,0.08000000000000007,/Users/rasmus/Desktop/Fysik/AppliedML2026/Final_project_data/data/ML_data/NBI/FDM data/Arrivals/Nuuk Arrival_ 208049_OY-GRH_05_12_24_23_12.csv,0.052281290471193786
2024.0,12.0,5.0,15.0,14.0,27.0,0.1200000000000001,0.042384889680633114,0.08000000000000007,/Users/rasmus/Desktop/Fysik/AppliedML2026/Final_project_data/data/ML_data/NBI/FDM data/Arrivals/Nuuk Arrival_ 208056_OY-GRH_05_12_24_16_15.csv,0.05511351921262156
2024.0,12.0,5.0,15.0,19.0,18.0,0.1299999999999999,0.06800460915020135,0.1200000000000001,/Users/rasmus/Desktop/Fysik/AppliedML2026/Final_project_data/data/ML_data/NBI/FDM data/Arrivals/Nuuk Arrival_ 208057_OY-GRO_05_12_24_21_15.csv,0.07755182598937127
2024.0,12.0,5.0,15.0,21.0,25.0,0.1200000000000001,0.03546920518039605,0.07000000000000006,/Users/rasmus/Desktop/Fysik/AppliedML2026/Final_project_data/data/ML_data/NBI/FDM data/Arrivals/Nuuk Arrival_ 208058_OY-GRK_05_12_24_23_15.csv,0.03186510027262769
2024.0,12.0,5.0,15.0,28.0,7.0,0.09999999999999998,0.030386400466875553,0.06000000000000005,/Users/rasmus/Desktop/Fysik/AppliedML2026/Final_project_data/data/ML_data/NBI/FDM data/Arrivals/Nuuk Arrival_ 208071_OY-GRG_05_12_24_30_15.csv,0.046569840025492935
2024.0,12.0,5.0,18.0,47.0,46.0,0.1200000000000001,0.03661511527588939,0.07549999999999983,/Users/rasmus/Desktop/Fysik/AppliedML2026/Final_project_data/data/ML_data/NBI/FDM data/Arrivals/Nuuk Arrival_ 208081_OY-GRK_05_12_24_49_18.csv,0.042328083664001016
2024.0,12.0,5.0,19.0,2.0,22.0,0.1499999999999999,0.05173964776109788,0.1100000000000001,/Users/rasmus/Desktop/Fysik/AppliedML2026/Final_project_data/data/ML_data/NBI/FDM data/Arrivals/Nuuk Arrival_ 208082_OY-GRM_05_12_24_04_19.csv,0.07114449002936535
