year,month,day,hour,minute,second,max_vert_acc,source_file
2024.0,12.0,5.0,15.0,28.0,7.0,0.09999999999999998,/Users/rasmus/Desktop/Fysik/AppliedML2026/Final_project_data/data/ML_data/NBI/FDM data/Arrivals/Nuuk Arrival_ 208071_OY-GRG_05_12_24_30_15.csv
2024.0,12.0,5.0,18.0,47.0,46.0,0.1200000000000001,/Users/rasmus/Desktop/Fysik/AppliedML2026/Final_project_data/data/ML_data/NBI/FDM data/Arrivals/Nuuk Arrival_ 208081_OY-GRK_05_12_24_49_18.csv
2024.0,12.0,5.0,19.0,2.0,22.0,0.1499999999999999,/Users/rasmus/Desktop/Fysik/AppliedML2026/Final_project_data/data/ML_data/NBI/FDM data/Arrivals/Nuuk Arrival_ 208082_OY-GRM_05_12_24_04_19.csv
2024.0,12.0,5.0,22.0,37.0,8.0,0.15999999999999992,/Users/rasmus/Desktop/Fysik/AppliedML2026/Final_project_data/data/ML_data/NBI/FDM data/Arrivals/Nuuk Arrival_ 208099_OY-GRP_05_12_24_38_22.csv
2024.0,12.0,6.0,13.0,19.0,24.0,0.1499999999999999,/Users/rasmus/Desktop/Fysik/AppliedML2026/Final_project_data/data/ML_data/NBI/FDM data/Arrivals/Nuuk Arrival_ 208105_OY-GRM_06_12_24_21_13.csv
2024.0,12.0,6.0,12.0,56.0,31.0,0.20999999999999996,/Users/rasmus/Desktop/Fysik/AppliedML2026/Final_project_data/data/ML_data/NBI/FDM data/Arrivals/Nuuk Arrival_ 208106_OY-GRO_06_12_24_58_12.csv
2024.0,12.0,6.0,13.0,34.0,46.0,0.16999999999999993,/Users/rasmus/Desktop/Fysik/AppliedML2026/Final_project_data/data/ML_data/NBI/FDM data/Arrivals/Nuuk Arrival_ 208107_OY-GRP_06_12_24_36_13.csv
2024.0,12.0,6.0,12.0,44.0,45.0,0.3400000000000001,/Users/rasmus/Desktop/Fysik/AppliedML2026/Final_project_data/data/ML_data/NBI/FDM data/Arrivals/Nuuk Arrival_ 208124_OY-GRK_06_12_24_53_12.csv
2024.0,12.0,6.0,13.0,21.0,45.0,0.44999999999999996,/Users/rasmus/Desktop/Fysik/AppliedML2026/Final_project_data/data/ML_data/NBI/FDM data/Arrivals/Nuuk Arrival_ 208127_OY-GRK_06_12_24_30_13.csv
2024.0,12.0,6.0,16.0,14.0,31.0,0.20999999999999996,/Users/rasmus/Desktop/Fysik/AppliedML2026/Final_project_data/data/ML_data/NBI/FDM data/Arrivals/Nuuk Arrival_ 208138_OY-GRK_06_12_24_16_16.csv
2024.0,12.0,6.0,17.0,13.0,58.0,0.18999999999999995,/Users/rasmus/Desktop/Fysik/AppliedML2026/Final_project_data/data/ML_data/NBI/FDM data/Arrivals/Nuuk Arrival_ 208142_OY-GRH_06_12_24_15_17.csv
2024.0,12.0,6.0,17.0,41.0,57.0,0.20999999999999996,/Users/rasmus/Desktop/Fysik/AppliedML2026/Final_project_data/data/ML_data/NBI/FDM data/Arrivals/Nuuk Arrival_ 208143_OY-GRM_06_12_24_44_17.csv
2024.0,12.0,6.0,17.0,53.0,8.0,0.15999999999999992,/Users/rasmus/Desktop/Fysik/AppliedML2026/Final_project_data/data/ML_data/NBI/FDM data/Arrivals/Nuuk Arrival_ 208144_OY-GRP_06_12_24_55_17.csv
2024.0,12.0,6.0,23.0,11.0,59.0,0.20999999999999996,/Users/rasmus/Desktop/Fysik/AppliedML2026/Final_project_data/data/ML_data/NBI/FDM data/Arrivals/Nuuk Arrival_ 208173_OY-GRK_06_12_24_12_23.csv
2024.0,12.0,6.0,23.0,36.0,53.0,0.3999999999999999,/Users/rasmus/Desktop/Fysik/AppliedML2026/Final_project_data/data/ML_data/NBI/FDM data/Arrivals/Nuuk Arrival_ 208174_OY-GRG_06_12_24_38_23.csv
2024.0,12.0,8.0,19.0,21.0,32.0,0.15000000000000002,/Users/rasmus/Desktop/Fysik/AppliedML2026/Final_project_data/data/ML_data/NBI/FDM data/Arrivals/Nuuk Arrival_ 208180_OY-GRG_08_12_24_23_19.csv
2024.0,12.0,9.0,12.0,52.0,2.0,0.22999999999999998,/Users/rasmus/Desktop/Fysik/AppliedML2026/Final_project_data/data/ML_data/NBI/FDM data/Arrivals/Nuuk Arrival_ 208187_OY-GRP_09_12_24_54_12.csv
2024.0,12.0,9.0,13.0,49.0,42.0,0.26,/Users/rasmus/Desktop/Fysik/AppliedML2026/Final_project_data/data/ML_data/NBI/FDM data/Arrivals/Nuuk Arrival_ 208188_OY-GRO_09_12_24_51_13.csv
2024.0,12.0,9.0,13.0,13.0,41.0,0.19999999999999996,/Users/rasmus/Desktop/Fysik/AppliedML2026/Final_project_data/data/ML_data/NBI/FDM data/Arrivals/Nuuk Arrival_ 208189_OY-GRK_09_12_24_15_13.csv
2024.0,12.0,9.0,13.0,44.0,8.0,0.41999999999999993,/Users/rasmus/Desktop/Fysik/AppliedML2026/Final_project_data/data/ML_data/NBI/FDM data/Arrivals/Nuuk Arrival_ 208192_OY-GRG_09_12_24_46_13.csv
2024.0,12.0,9.0,16.0,32.0,34.0,0.43999999999999995,/Users/rasmus/Desktop/Fysik/AppliedML2026/Final_project_data/data/ML_data/NBI/FDM data/Arrivals/Nuuk Arrival_ 208194_OY-GRP_09_12_24_33_16.csv
2024.0,12.0,9.0,19.0,39.0,57.0,0.3899999999999999,/Users/rasmus/Desktop/Fysik/AppliedML2026/Final_project_data/data/ML_data/NBI/FDM data/Arrivals/Nuuk Arrival_ 208225_OY-GRO_09_12_24_41_19.csv
2024.0,12.0,9.0,20.0,45.0,7.0,0.1100000000000001,/Users/rasmus/Desktop/Fysik/AppliedML2026/Final_project_data/data/ML_data/NBI/FDM data/Arrivals/Nuuk Arrival_ 208227_OY-GRM_09_12_24_47_20.csv
2024.0,12.0,9.0,21.0,40.0,19.0,0.1399999999999999,/Users/rasmus/Desktop/Fysik/AppliedML2026/Final_project_data/data/ML_data/NBI/FDM data/Arrivals/Nuuk Arrival_ 208229_OY-GRP_09_12_24_42_21.csv
2024.0,12.0,10.0,12.0,19.0,13.0,0.1399999999999999,/Users/rasmus/Desktop/Fysik/AppliedML2026/Final_project_data/data/ML_data/NBI/FDM data/Arrivals/Nuuk Arrival_ 208236_OY-GRP_10_12_24_21_12.csv
2024.0,12.0,10.0,15.0,38.0,43.0,0.16999999999999993,/Users/rasmus/Desktop/Fysik/AppliedML2026/Final_project_data/data/ML_data/NBI/FDM data/Arrivals/Nuuk Arrival_ 208239_OY-GRG_10_12_24_41_15.csv
2024.0,12.0,10.0,15.0,31.0,19.0,0.21999999999999997,/Users/rasmus/Desktop/Fysik/AppliedML2026/Final_project_data/data/ML_data/NBI/FDM data/Arrivals/Nuuk Arrival_ 208240_OY-GRH_10_12_24_33_15.csv
2024.0,12.0,10.0,15.0,49.0,23.0,0.21999999999999997,/Users/rasmus/Desktop/Fysik/AppliedML2026/Final_project_data/data/ML_data/NBI/FDM data/Arrivals/Nuuk Arrival_ 208242_OY-GRP_10_12_24_51_15.csv
2024.0,12.0,10.0,15.0,43.0,44.0,0.1399999999999999,/Users/rasmus/Desktop/Fysik/AppliedML2026/Final_project_data/data/ML_data/NBI/FDM data/Arrivals/Nuuk Arrival_ 208246_OY-GRK_10_12_24_45_15.csv
2024.0,12.0,10.0,15.0,47.0,13.0,0.15999999999999992,/Users/rasmus/Desktop/Fysik/AppliedML2026/Final_project_data/data/ML_data/NBI/FDM data/Arrivals/Nuuk Arrival_ 208247_OY-GRM_10_12_24_49_15.csv
2024.0,12.0,10.0,18.0,42.0,57.0,0.18999999999999995,/Users/rasmus/Desktop/Fysik/AppliedML2026/Final_project_data/data/ML_data/NBI/FDM data/Arrivals/Nuuk Arrival_ 208276_OY-GRH_10_12_24_44_18.csv
2024.0,12.0,10.0,18.0,44.0,52.0,0.1299999999999999,/Users/rasmus/Desktop/Fysik/AppliedML2026/Final_project_data/data/ML_data/NBI/FDM data/Arrivals/Nuuk Arrival_ 208277_OY-GRP_10_12_24_46_18.csv
2024.0,12.0,10.0,19.0,16.0,51.0,0.20999999999999996,/Users/rasmus/Desktop/Fysik/AppliedML2026/Final_project_data/data/ML_data/NBI/FDM data/Arrivals/Nuuk Arrival_ 208278_OY-GRO_10_12_24_18_19.csv
2024.0,12.0,10.0,21.0,37.0,10.0,0.15999999999999992,/Users/rasmus/Desktop/Fysik/AppliedML2026/Final_project_data/data/ML_data/NBI/FDM data/Arrivals/Nuuk Arrival_ 208280_OY-GRP_10_12_24_39_21.csv
2024.0,12.0,2.0,12.0,47.0,57.0,0.43999999999999995,/Users/rasmus/Desktop/Fysik/AppliedML2026/Final_project_data/data/ML_data/NBI/FDM data/Arrivals/Nuuk Arrival_ 208283_OY-GRR_02_12_24_42_12.csv
2024.0,12.0,2.0,17.0,21.0,33.0,0.1499999999999999,/Users/rasmus/Desktop/Fysik/AppliedML2026/Final_project_data/data/ML_data/NBI/FDM data/Arrivals/Nuuk Arrival_ 208284_OY-GRR_02_12_24_46_16.csv
2024.0,12.0,4.0,14.0,37.0,18.0,0.28,/Users/rasmus/Desktop/Fysik/AppliedML2026/Final_project_data/data/ML_data/NBI/FDM data/Arrivals/Nuuk Arrival_ 208286_OY-GRR_04_12_24_10_14.csv
2024.0,12.0,4.0,18.0,7.0,3.0,0.26,/Users/rasmus/Desktop/Fysik/AppliedML2026/Final_project_data/data/ML_data/NBI/FDM data/Arrivals/Nuuk Arrival_ 208288_OY-GRR_04_12_24_49_17.csv
2024.0,12.0,5.0,19.0,6.0,5.0,0.18999999999999995,/Users/rasmus/Desktop/Fysik/AppliedML2026/Final_project_data/data/ML_data/NBI/FDM data/Arrivals/Nuuk Arrival_ 208290_OY-GRR_05_12_24_58_18.csv
2024.0,12.0,6.0,13.0,2.0,28.0,0.13,/Users/rasmus/Desktop/Fysik/AppliedML2026/Final_project_data/data/ML_data/NBI/FDM data/Arrivals/Nuuk Arrival_ 208292_OY-GRR_06_12_24_55_12.csv
2024.0,12.0,6.0,18.0,41.0,35.0,0.27,/Users/rasmus/Desktop/Fysik/AppliedML2026/Final_project_data/data/ML_data/NBI/FDM data/Arrivals/Nuuk Arrival_ 208294_OY-GRR_06_12_24_34_18.csv
